Country Name,Indicator Name,Year,Value
Bangladesh,Exports of goods and services (% of GDP),2001,13.38655921
Bangladesh,GDP per capita (current US$),2001,394.65641
Bangladesh,"Government expenditure on education, total (% of GDP)",2001,2.171930075
Bangladesh,Imports of goods and services (% of GDP),2001,18.71145786
Bangladesh,"Inflation, consumer prices (annual %)",2001,2.007173742
Bangladesh,"Life expectancy at birth, total (years)",2001,62.836
Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",2001,47.0
Bangladesh,Population growth (annual %),2001,1.666893247
Bhutan,Access to electricity (% of population),2001,40.2
Bhutan,Exports of goods and services (% of GDP),2001,25.24171376
Bhutan,GDP per capita (current US$),2001,812.2382108
Bhutan,"Government expenditure on education, total (% of GDP)",2001,5.449850082
Bhutan,Imports of goods and services (% of GDP),2001,45.85286097
Bhutan,"Inflation, consumer prices (annual %)",2001,3.414789461
Bhutan,"Life expectancy at birth, total (years)",2001,63.323
Bhutan,"Literacy rate, adult total (% of people ages 15 and above)",2001,53.0
Bhutan,Population growth (annual %),2001,2.307214379
China,Access to electricity (% of population),2001,97.0
China,Exports of goods and services (% of GDP),2001,20.31206722
China,GDP per capita (current US$),2001,1053.112314
China,"Government expenditure on education, total (% of GDP)",2001,2.391905546
China,Imports of goods and services (% of GDP),2001,18.21514311
China,"Inflation, consumer prices (annual %)",2001,0.719125609
China,"Life expectancy at birth, total (years)",2001,72.675
China,"Literacy rate, adult total (% of people ages 15 and above)",2001,91.0
China,Population growth (annual %),2001,0.726380638
India,Access to electricity (% of population),2001,62.0
India,Exports of goods and services (% of GDP),2001,12.55837963
India,GDP per capita (current US$),2001,450.3579005
India,"Government expenditure on education, total (% of GDP)",2001,4.324790001
India,Imports of goods and services (% of GDP),2001,13.43487512
India,"Inflation, consumer prices (annual %)",2001,3.779293122
India,"Life expectancy at birth, total (years)",2001,63.158
India,"Literacy rate, adult total (% of people ages 15 and above)",2001,61.0
India,Population growth (annual %),2001,1.870608221
Myanmar,Access to electricity (% of population),2001,43.0
Myanmar,GDP per capita (current US$),2001,141.5256607
Myanmar,"Government expenditure on education, total (% of GDP)",2001,0.787440002
Myanmar,"Inflation, consumer prices (annual %)",2001,21.10130538
Myanmar,"Life expectancy at birth, total (years)",2001,60.64
Myanmar,"Literacy rate, adult total (% of people ages 15 and above)",2001,90.0
Myanmar,Population growth (annual %),2001,1.054891304
Nepal,Access to electricity (% of population),2001,24.6
Nepal,Exports of goods and services (% of GDP),2001,22.56077372
Nepal,GDP per capita (current US$),2001,240.7951145
Nepal,"Government expenditure on education, total (% of GDP)",2001,3.708379984
Nepal,Imports of goods and services (% of GDP),2001,33.23914736
Nepal,"Inflation, consumer prices (annual %)",2001,2.688303735
Nepal,"Life expectancy at birth, total (years)",2001,63.288
Nepal,"Literacy rate, adult total (% of people ages 15 and above)",2001,49.0
Nepal,Population growth (annual %),2001,1.617382848
Pakistan,Access to electricity (% of population),2001,73.9
Pakistan,Exports of goods and services (% of GDP),2001,10.62617308
Pakistan,GDP per capita (current US$),2001,609.9395069
Pakistan,"Government expenditure on education, total (% of GDP)",2001,1.837820053
Pakistan,Imports of goods and services (% of GDP),2001,12.95103576
Pakistan,"Inflation, consumer prices (annual %)",2001,3.148261446
Pakistan,"Life expectancy at birth, total (years)",2001,62.241
Pakistan,"Literacy rate, adult total (% of people ages 15 and above)",2001,50.0
Pakistan,Population growth (annual %),2001,2.796158309
Sri Lanka,Access to electricity (% of population),2001,63.6
Sri Lanka,Exports of goods and services (% of GDP),2001,37.33118848
Sri Lanka,GDP per capita (current US$),2001,803.5440266
Sri Lanka,"Government expenditure on education, total (% of GDP)",2001,2.055900097
Sri Lanka,Imports of goods and services (% of GDP),2001,43.56741306
Sri Lanka,"Inflation, consumer prices (annual %)",2001,14.1584558
Sri Lanka,"Life expectancy at birth, total (years)",2001,71.804
Sri Lanka,"Literacy rate, adult total (% of people ages 15 and above)",2001,91.0
Sri Lanka,Population growth (annual %),2001,1.580290069
Afghanistan,Access to electricity (% of population),2002,14.1
Afghanistan,Exports of goods and services (% of GDP),2002,10.42081714
Afghanistan,GDP per capita (current US$),2002,178.9540884
Afghanistan,"Government expenditure on education, total (% of GDP)",2002,4.684760571
Afghanistan,Imports of goods and services (% of GDP),2002,36.28907741
Afghanistan,"Inflation, consumer prices (annual %)",2002,12.68626872
Afghanistan,"Life expectancy at birth, total (years)",2002,56.225
Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",2002,31.0
Afghanistan,Population growth (annual %),2002,5.252029585
Bangladesh,Access to electricity (% of population),2002,37.8
Bangladesh,Exports of goods and services (% of GDP),2002,12.40996893
Bangladesh,GDP per capita (current US$),2002,393.8864223
Bangladesh,"Government expenditure on education, total (% of GDP)",2002,2.017149925
Bangladesh,Imports of goods and services (% of GDP),2002,16.55741179
Bangladesh,"Inflation, consumer prices (annual %)",2002,3.332564933
Bangladesh,"Life expectancy at birth, total (years)",2002,63.591
Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",2002,47.0
Bangladesh,Population growth (annual %),2002,1.543406357
Bhutan,Access to electricity (% of population),2002,44.1
Bhutan,Exports of goods and services (% of GDP),2002,22.92023196
Bhutan,GDP per capita (current US$),2002,895.7994899
Bhutan,"Government expenditure on education, total (% of GDP)",2002,5.449850082
Bhutan,Imports of goods and services (% of GDP),2002,47.36308524
Bhutan,"Inflation, consumer prices (annual %)",2002,2.455357143
Bhutan,"Life expectancy at birth, total (years)",2002,63.984
Bhutan,"Literacy rate, adult total (% of people ages 15 and above)",2002,53.0
Bhutan,Population growth (annual %),2002,2.204585226
China,Access to electricity (% of population),2002,97.2
China,Exports of goods and services (% of GDP),2002,22.64462803
China,GDP per capita (current US$),2002,1148.514257
China,"Government expenditure on education, total (% of GDP)",2002,2.391905546
China,Imports of goods and services (% of GDP),2002,20.10255352
China,"Inflation, consumer prices (annual %)",2002,-0.731970902
China,"Life expectancy at birth, total (years)",2002,73.034
China,"Literacy rate, adult total (% of people ages 15 and above)",2002,91.0
China,Population growth (annual %),2002,0.669999568
India,Access to electricity (% of population),2002,62.3
India,Exports of goods and services (% of GDP),2002,14.26438392
India,GDP per capita (current US$),2002,469.149929
India,"Government expenditure on education, total (% of GDP)",2002,4.324790001
India,Imports of goods and services (% of GDP),2002,15.24427901
India,"Inflation, consumer prices (annual %)",2002,4.297152039
India,"Life expectancy at birth, total (years)",2002,63.649
India,"Literacy rate, adult total (% of people ages 15 and above)",2002,61.0
India,Population growth (annual %),2002,1.811294241
Myanmar,Access to electricity (% of population),2002,47.0
Myanmar,GDP per capita (current US$),2002,146.5983904
Myanmar,"Government expenditure on education, total (% of GDP)",2002,0.787440002
Myanmar,"Inflation, consumer prices (annual %)",2002,57.07451126
Myanmar,"Life expectancy at birth, total (years)",2002,60.925
Myanmar,"Literacy rate, adult total (% of people ages 15 and above)",2002,90.0
Myanmar,Population growth (annual %),2002,1.003258368
Nepal,Access to electricity (% of population),2002,36.4
Nepal,Exports of goods and services (% of GDP),2002,17.73712952
Nepal,GDP per capita (current US$),2002,238.891403
Nepal,"Government expenditure on education, total (% of GDP)",2002,3.152839899
Nepal,Imports of goods and services (% of GDP),2002,28.49358898
Nepal,"Inflation, consumer prices (annual %)",2002,3.029399487
Nepal,"Life expectancy at birth, total (years)",2002,63.507
Nepal,"Literacy rate, adult total (% of people ages 15 and above)",2002,49.0
Nepal,Population growth (annual %),2002,1.520576121
Pakistan,Access to electricity (% of population),2002,74.9
Pakistan,Exports of goods and services (% of GDP),2002,11.26296557
Pakistan,GDP per capita (current US$),2002,599.9373457
Pakistan,"Government expenditure on education, total (% of GDP)",2002,1.837820053
Pakistan,Imports of goods and services (% of GDP),2002,11.86605503
Pakistan,"Inflation, consumer prices (annual %)",2002,3.290344726
Pakistan,"Life expectancy at birth, total (years)",2002,62.556
Pakistan,"Literacy rate, adult total (% of people ages 15 and above)",2002,50.0
Pakistan,Population growth (annual %),2002,2.45080309
Sri Lanka,Access to electricity (% of population),2002,80.7
Sri Lanka,Exports of goods and services (% of GDP),2002,34.9133302
Sri Lanka,GDP per capita (current US$),2002,834.9360149
Sri Lanka,"Government expenditure on education, total (% of GDP)",2002,2.055900097
Sri Lanka,Imports of goods and services (% of GDP),2002,41.42180158
Sri Lanka,"Inflation, consumer prices (annual %)",2002,9.55103167
Sri Lanka,"Life expectancy at birth, total (years)",2002,72.271
Sri Lanka,"Literacy rate, adult total (% of people ages 15 and above)",2002,91.0
Sri Lanka,Population growth (annual %),2002,1.042436511
Afghanistan,Access to electricity (% of population),2003,19.0
Afghanistan,Exports of goods and services (% of GDP),2003,10.42081714
Afghanistan,GDP per capita (current US$),2003,198.8711157
Afghanistan,"Government expenditure on education, total (% of GDP)",2003,4.684760571
Afghanistan,Imports of goods and services (% of GDP),2003,36.28907741
Afghanistan,"Inflation, consumer prices (annual %)",2003,12.68626872
Afghanistan,"Life expectancy at birth, total (years)",2003,57.171
Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",2003,31.0
Afghanistan,Population growth (annual %),2003,6.145194002
Bangladesh,Access to electricity (% of population),2003,40.5
Bangladesh,Exports of goods and services (% of GDP),2003,11.4311487
Bangladesh,GDP per capita (current US$),2003,426.7488075
Bangladesh,"Government expenditure on education, total (% of GDP)",2003,2.069390059
Bangladesh,Imports of goods and services (% of GDP),2003,16.2267362
Bangladesh,"Inflation, consumer prices (annual %)",2003,5.668707734
Bangladesh,"Life expectancy at birth, total (years)",2003,64.288
Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",2003,47.0
Bangladesh,Population growth (annual %),2003,1.455305305
Bhutan,Access to electricity (% of population),2003,41.1
Bhutan,Exports of goods and services (% of GDP),2003,24.35683941
Bhutan,GDP per capita (current US$),2003,1022.382403
Bhutan,"Government expenditure on education, total (% of GDP)",2003,5.449850082
Bhutan,Imports of goods and services (% of GDP),2003,48.49306125
Bhutan,"Inflation, consumer prices (annual %)",2003,2.572308617
Bhutan,"Life expectancy at birth, total (years)",2003,64.662
Bhutan,"Literacy rate, adult total (% of people ages 15 and above)",2003,53.0
Bhutan,Population growth (annual %),2003,2.100432825
China,Access to electricity (% of population),2003,97.4
China,Exports of goods and services (% of GDP),2003,26.98087714
China,GDP per capita (current US$),2003,1288.637491
China,"Government expenditure on education, total (% of GDP)",2003,2.391905546
China,Imports of goods and services (% of GDP),2003,24.82334243
China,"Inflation, consumer prices (annual %)",2003,1.127603487
China,"Life expectancy at birth, total (years)",2003,73.385
China,"Literacy rate, adult total (% of people ages 15 and above)",2003,91.0
China,Population growth (annual %),2003,0.622860936
India,Access to electricity (% of population),2003,65.4
India,Exports of goods and services (% of GDP),2003,14.94791386
India,GDP per capita (current US$),2003,544.1431335
India,"Government expenditure on education, total (% of GDP)",2003,3.613409996
India,Imports of goods and services (% of GDP),2003,15.64452227
India,"Inflation, consumer prices (annual %)",2003,3.805858995
India,"Life expectancy at birth, total (years)",2003,64.086
India,"Literacy rate, adult total (% of people ages 15 and above)",2003,61.0
India,Population growth (annual %),2003,1.734382044
Myanmar,Access to electricity (% of population),2003,45.1
Myanmar,GDP per capita (current US$),2003,224.2926889
Myanmar,"Government expenditure on education, total (% of GDP)",2003,0.787440002
Myanmar,"Inflation, consumer prices (annual %)",2003,36.58971753
Myanmar,"Life expectancy at birth, total (years)",2003,61.196
Myanmar,"Literacy rate, adult total (% of people ages 15 and above)",2003,90.0
Myanmar,Population growth (annual %),2003,0.935506769
Nepal,Access to electricity (% of population),2003,39.6
Nepal,Exports of goods and services (% of GDP),2003,15.69986449
Nepal,GDP per capita (current US$),2003,246.4297066
Nepal,"Government expenditure on education, total (% of GDP)",2003,3.11435008
Nepal,Imports of goods and services (% of GDP),2003,28.54801912
Nepal,"Inflation, consumer prices (annual %)",2003,5.707009319
Nepal,"Life expectancy at birth, total (years)",2003,64.229
Nepal,"Literacy rate, adult total (% of people ages 15 and above)",2003,49.0
Nepal,Population growth (annual %),2003,1.410423007
Pakistan,Access to electricity (% of population),2003,76.0
Pakistan,Exports of goods and services (% of GDP),2003,12.16464391
Pakistan,GDP per capita (current US$),2003,672.4417867
Pakistan,"Government expenditure on education, total (% of GDP)",2003,1.837820053
Pakistan,Imports of goods and services (% of GDP),2003,12.48552221
Pakistan,"Inflation, consumer prices (annual %)",2003,2.914134701
Pakistan,"Life expectancy at birth, total (years)",2003,62.834
Pakistan,"Literacy rate, adult total (% of people ages 15 and above)",2003,50.0
Pakistan,Population growth (annual %),2003,2.353916139
Sri Lanka,Access to electricity (% of population),2003,75.0
Sri Lanka,Exports of goods and services (% of GDP),2003,34.65350283
Sri Lanka,GDP per capita (current US$),2003,946.3822551
Sri Lanka,"Government expenditure on education, total (% of GDP)",2003,2.055900097
Sri Lanka,Imports of goods and services (% of GDP),2003,40.6827445
Sri Lanka,"Inflation, consumer prices (annual %)",2003,6.314637871
Sri Lanka,"Life expectancy at birth, total (years)",2003,72.442
Sri Lanka,"Literacy rate, adult total (% of people ages 15 and above)",2003,91.0
Sri Lanka,Population growth (annual %),2003,0.733298047
Afghanistan,Access to electricity (% of population),2004,23.8
Afghanistan,Exports of goods and services (% of GDP),2004,10.42081714
Afghanistan,GDP per capita (current US$),2004,221.7636539
Afghanistan,"Government expenditure on education, total (% of GDP)",2004,4.684760571
Afghanistan,Imports of goods and services (% of GDP),2004,36.28907741
Afghanistan,"Inflation, consumer prices (annual %)",2004,12.68626872
Afghanistan,"Life expectancy at birth, total (years)",2004,57.81
Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",2004,31.0
Afghanistan,Population growth (annual %),2004,3.575834854
Bangladesh,Access to electricity (% of population),2004,40.6
Bangladesh,Exports of goods and services (% of GDP),2004,11.14650895
Bangladesh,GDP per capita (current US$),2004,455.6140169
Bangladesh,"Government expenditure on education, total (% of GDP)",2004,1.940140009
Bangladesh,Imports of goods and services (% of GDP),2004,15.7117252
Bangladesh,"Inflation, consumer prices (annual %)",2004,7.587536385
Bangladesh,"Life expectancy at birth, total (years)",2004,64.912
Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",2004,47.0
Bangladesh,Population growth (annual %),2004,1.361547907
Bhutan,Access to electricity (% of population),2004,51.9
Bhutan,Exports of goods and services (% of GDP),2004,29.65184016
Bhutan,GDP per capita (current US$),2004,1130.359346
Bhutan,"Government expenditure on education, total (% of GDP)",2004,6.123119831
Bhutan,Imports of goods and services (% of GDP),2004,59.40871164
Bhutan,"Inflation, consumer prices (annual %)",2004,4.105936983
Bhutan,"Life expectancy at birth, total (years)",2004,65.29
Bhutan,"Literacy rate, adult total (% of people ages 15 and above)",2004,53.0
Bhutan,Population growth (annual %),2004,1.999900532
China,Access to electricity (% of population),2004,97.7
China,Exports of goods and services (% of GDP),2004,31.06134134
China,GDP per capita (current US$),2004,1508.667916
China,"Government expenditure on education, total (% of GDP)",2004,2.391905546
China,Imports of goods and services (% of GDP),2004,28.44419008
China,"Inflation, consumer prices (annual %)",2004,3.824637431
China,"Life expectancy at birth, total (years)",2004,73.727
China,"Literacy rate, adult total (% of people ages 15 and above)",2004,91.0
China,Population growth (annual %),2004,0.593932815
India,Access to electricity (% of population),2004,64.4
India,Exports of goods and services (% of GDP),2004,17.85912496
India,GDP per capita (current US$),2004,624.2588265
India,"Government expenditure on education, total (% of GDP)",2004,3.352540016
India,Imports of goods and services (% of GDP),2004,19.6446891
India,"Inflation, consumer prices (annual %)",2004,3.767251735
India,"Life expectancy at birth, total (years)",2004,64.484
India,"Literacy rate, adult total (% of people ages 15 and above)",2004,61.0
India,Population growth (annual %),2004,1.703570468
Myanmar,Access to electricity (% of population),2004,46.2
Myanmar,GDP per capita (current US$),2004,224.5088114
Myanmar,"Government expenditure on education, total (% of GDP)",2004,0.787440002
Myanmar,"Inflation, consumer prices (annual %)",2004,4.534213741
Myanmar,"Life expectancy at birth, total (years)",2004,61.443
Myanmar,"Literacy rate, adult total (% of people ages 15 and above)",2004,90.0
Myanmar,Population growth (annual %),2004,0.856837525
Nepal,Access to electricity (% of population),2004,37.2
Nepal,Exports of goods and services (% of GDP),2004,16.68269526
Nepal,GDP per capita (current US$),2004,279.58775
Nepal,"Government expenditure on education, total (% of GDP)",2004,3.171940088
Nepal,Imports of goods and services (% of GDP),2004,29.46459146
Nepal,"Inflation, consumer prices (annual %)",2004,2.841811312
Nepal,"Life expectancy at birth, total (years)",2004,64.744
Nepal,"Literacy rate, adult total (% of people ages 15 and above)",2004,49.0
Nepal,Population growth (annual %),2004,1.268348401
Pakistan,Access to electricity (% of population),2004,77.0
Pakistan,Exports of goods and services (% of GDP),2004,11.42297416
Pakistan,GDP per capita (current US$),2004,771.9022473
Pakistan,"Government expenditure on education, total (% of GDP)",2004,1.443379998
Pakistan,Imports of goods and services (% of GDP),2004,13.38536671
Pakistan,"Inflation, consumer prices (annual %)",2004,7.444624693
Pakistan,"Life expectancy at birth, total (years)",2004,63.097
Pakistan,"Literacy rate, adult total (% of people ages 15 and above)",2004,50.0
Pakistan,Population growth (annual %),2004,2.468091176
Sri Lanka,Access to electricity (% of population),2004,76.5
Sri Lanka,Exports of goods and services (% of GDP),2004,35.33090273
Sri Lanka,GDP per capita (current US$),2004,1028.620681
Sri Lanka,"Government expenditure on education, total (% of GDP)",2004,2.055900097
Sri Lanka,Imports of goods and services (% of GDP),2004,44.15204217
Sri Lanka,"Inflation, consumer prices (annual %)",2004,7.57592583
Sri Lanka,"Life expectancy at birth, total (years)",2004,68.022
Sri Lanka,"Literacy rate, adult total (% of people ages 15 and above)",2004,91.0
Sri Lanka,Population growth (annual %),2004,0.679757715
Afghanistan,Access to electricity (% of population),2005,28.7
Afghanistan,Exports of goods and services (% of GDP),2005,10.42081714
Afghanistan,GDP per capita (current US$),2005,254.1842491
Afghanistan,"Government expenditure on education, total (% of GDP)",2005,4.684760571
Afghanistan,Imports of goods and services (% of GDP),2005,36.28907741
Afghanistan,"Inflation, consumer prices (annual %)",2005,12.68626872
Afghanistan,"Life expectancy at birth, total (years)",2005,58.247
Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",2005,31.0
Afghanistan,Population growth (annual %),2005,3.51921696
Bangladesh,Access to electricity (% of population),2005,44.2
Bangladesh,Exports of goods and services (% of GDP),2005,14.3928419
Bangladesh,GDP per capita (current US$),2005,480.0858508
Bangladesh,"Government expenditure on education, total (% of GDP)",2005,1.940140009
Bangladesh,Imports of goods and services (% of GDP),2005,20.00409297
Bangladesh,"Inflation, consumer prices (annual %)",2005,7.046618162
Bangladesh,"Life expectancy at birth, total (years)",2005,65.509
Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",2005,47.0
Bangladesh,Population growth (annual %),2005,1.260665163
Bhutan,Access to electricity (% of population),2005,59.8
Bhutan,Exports of goods and services (% of GDP),2005,36.4043943
Bhutan,GDP per capita (current US$),2005,1299.949386
Bhutan,"Government expenditure on education, total (% of GDP)",2005,6.764200211
Bhutan,Imports of goods and services (% of GDP),2005,61.33901925
Bhutan,"Inflation, consumer prices (annual %)",2005,5.312631046
Bhutan,"Life expectancy at birth, total (years)",2005,65.875
Bhutan,"Literacy rate, adult total (% of people ages 15 and above)",2005,53.0
Bhutan,Population growth (annual %),2005,1.725267171
China,Access to electricity (% of population),2005,97.9
China,Exports of goods and services (% of GDP),2005,33.82992775
China,GDP per capita (current US$),2005,1753.414192
China,"Government expenditure on education, total (% of GDP)",2005,2.391905546
China,Imports of goods and services (% of GDP),2005,28.37809417
China,"Inflation, consumer prices (annual %)",2005,1.776414077
China,"Life expectancy at birth, total (years)",2005,74.085
China,"Literacy rate, adult total (% of people ages 15 and above)",2005,91.0
China,Population growth (annual %),2005,0.58812499
India,Access to electricity (% of population),2005,68.8
India,Exports of goods and services (% of GDP),2005,19.60524669
India,GDP per capita (current US$),2005,710.4880804
India,"Government expenditure on education, total (% of GDP)",2005,3.188750029
India,Imports of goods and services (% of GDP),2005,22.39642292
India,"Inflation, consumer prices (annual %)",2005,4.24634362
India,"Life expectancy at birth, total (years)",2005,64.939
India,"Literacy rate, adult total (% of people ages 15 and above)",2005,61.0
India,Population growth (annual %),2005,1.631421469
Myanmar,Access to electricity (% of population),2005,47.3
Myanmar,GDP per capita (current US$),2005,252.6851931
Myanmar,"Government expenditure on education, total (% of GDP)",2005,0.787440002
Myanmar,"Inflation, consumer prices (annual %)",2005,9.368618142
Myanmar,"Life expectancy at birth, total (years)",2005,61.72
Myanmar,"Literacy rate, adult total (% of people ages 15 and above)",2005,90.0
Myanmar,Population growth (annual %),2005,0.782152324
Nepal,Access to electricity (% of population),2005,46.1
Nepal,Exports of goods and services (% of GDP),2005,14.58368679
Nepal,GDP per capita (current US$),2005,309.0241683
Nepal,"Government expenditure on education, total (% of GDP)",2005,3.364639997
Nepal,Imports of goods and services (% of GDP),2005,29.47926069
Nepal,"Inflation, consumer prices (annual %)",2005,6.836332659
Nepal,"Life expectancy at birth, total (years)",2005,65.275
Nepal,"Literacy rate, adult total (% of people ages 15 and above)",2005,49.0
Nepal,Population growth (annual %),2005,1.119154601
Pakistan,Access to electricity (% of population),2005,78.1
Pakistan,Exports of goods and services (% of GDP),2005,12.25184593
Pakistan,GDP per capita (current US$),2005,827.6198612
Pakistan,"Government expenditure on education, total (% of GDP)",2005,1.670580029
Pakistan,Imports of goods and services (% of GDP),2005,17.62665207
Pakistan,"Inflation, consumer prices (annual %)",2005,9.06332737
Pakistan,"Life expectancy at birth, total (years)",2005,62.416
Pakistan,"Literacy rate, adult total (% of people ages 15 and above)",2005,50.0
Pakistan,Population growth (annual %),2005,2.403773504
Sri Lanka,Access to electricity (% of population),2005,78.1
Sri Lanka,Exports of goods and services (% of GDP),2005,32.33687299
Sri Lanka,GDP per capita (current US$),2005,1207.219948
Sri Lanka,"Government expenditure on education, total (% of GDP)",2005,2.055900097
Sri Lanka,Imports of goods and services (% of GDP),2005,41.26709997
Sri Lanka,"Inflation, consumer prices (annual %)",2005,11.6396861
Sri Lanka,"Life expectancy at birth, total (years)",2005,73.073
Sri Lanka,"Literacy rate, adult total (% of people ages 15 and above)",2005,91.0
Sri Lanka,Population growth (annual %),2005,0.639733163
Afghanistan,Access to electricity (% of population),2006,33.5
Afghanistan,Exports of goods and services (% of GDP),2006,10.42081714
Afghanistan,GDP per capita (current US$),2006,274.2185536
Afghanistan,"Government expenditure on education, total (% of GDP)",2006,4.684760571
Afghanistan,Imports of goods and services (% of GDP),2006,36.28907741
Afghanistan,"Inflation, consumer prices (annual %)",2006,6.78459655
Afghanistan,"Life expectancy at birth, total (years)",2006,58.553
